n_digits,base,samples,unique_attractors,most_common_attractor,attractor_uniqueness_ratio,dominant_attractor_frequency,attractor_distribution
2,24,50,9,0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5 → CB → 0N,0.18,0.2,"{'0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5 → CB → 0N': 10, 'CB → 0N → M1 → K3 → G7 → 8F → 6H → AD → 2L → I5 → CB': 9, 'AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H → AD': 8, '4J → E9 → 4J': 5, '6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H': 5, 'K3 → G7 → 8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3': 4, '2L → I5 → CB → 0N → M1 → K3 → G7 → 8F → 6H → AD → 2L': 3, '8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7 → 8F': 3, 'G7 → 8F → 6H → AD → 2L → I5 → CB → 0N → M1 → K3 → G7': 3}"
2,25,50,6,1N → L3 → H7 → 9F → 5J → DB → 1N,0.12,0.22,"{'1N → L3 → H7 → 9F → 5J → DB → 1N': 11, 'H7 → 9F → 5J → DB → 1N → L3 → H7': 10, 'L3 → H7 → 9F → 5J → DB → 1N → L3': 8, '5J → DB → 1N → L3 → H7 → 9F → 5J': 8, '9F → 5J → DB → 1N → L3 → H7 → 9F': 8, 'DB → 1N → L3 → H7 → 9F → 5J → DB': 5}"
2,26,50,11,6J → CD → 0P → O1 → M3 → I7 → AF → 4L → G9 → 6J,0.22,0.18,"{'6J → CD → 0P → O1 → M3 → I7 → AF → 4L → G9 → 6J': 9, '2N → K5 → EB → 2N': 8, 'I7 → AF → 4L → G9 → 6J → CD → 0P → O1 → M3 → I7': 7, 'EB → 2N → K5 → EB': 6, '8H → 8H': 6, '0P → O1 → M3 → I7 → AF → 4L → G9 → 6J → CD → 0P': 4, 'G9 → 6J → CD → 0P → O1 → M3 → I7 → AF → 4L → G9': 3, 'AF → 4L → G9 → 6J → CD → 0P → O1 → M3 → I7 → AF': 3, '4L → G9 → 6J → CD → 0P → O1 → M3 → I7 → AF → 4L': 2, 'CD → 0P → O1 → M3 → I7 → AF → 4L → G9 → 6J → CD': 1, 'M3 → I7 → AF → 4L → G9 → 6J → CD → 0P → O1 → M3': 1}"
2,27,50,4,3N → J7 → BF → 3N,0.08,0.42,"{'3N → J7 → BF → 3N': 21, 'J7 → BF → 3N → J7': 13, 'BF → 3N → J7 → BF': 13, '00 → 00': 3}"
2,28,50,12,8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J,0.24,0.14,"{'8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J': 7, 'CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF': 7, 'K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7': 5, '0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R': 5, 'GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB': 4, '4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N': 4, '6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L': 4, 'O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3': 3, '2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P': 3, 'ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED': 3, 'AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH': 3, 'I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9': 2}"
2,29,50,7,DF → 1R → P3 → L7 → DF,0.14,0.22,"{'DF → 1R → P3 → L7 → DF': 11, '1R → P3 → L7 → DF → 1R': 9, 'L7 → DF → 1R → P3 → L7': 8, '5N → HB → 5N': 7, '9J → 9J': 7, 'HB → 5N → HB': 5, 'P3 → L7 → DF → 1R → P3': 3}"
2,30,50,14,Q3 → M7 → EF → 0T → S1 → Q3,0.28,0.14,"{'Q3 → M7 → EF → 0T → S1 → Q3': 7, '4P → K9 → AJ → 8L → CH → 4P': 6, '0T → S1 → Q3 → M7 → EF → 0T': 5, '6N → GD → 2R → O5 → IB → 6N': 5, 'M7 → EF → 0T → S1 → Q3 → M7': 4, 'IB → 6N → GD → 2R → O5 → IB': 4, '8L → CH → 4P → K9 → AJ → 8L': 4, '2R → O5 → IB → 6N → GD → 2R': 4, 'AJ → 8L → CH → 4P → K9 → AJ': 3, 'O5 → IB → 6N → GD → 2R → O5': 2, 'CH → 4P → K9 → AJ → 8L → CH': 2, 'S1 → Q3 → M7 → EF → 0T → S1': 2, 'EF → 0T → S1 → Q3 → M7 → EF': 1, 'GD → 2R → O5 → IB → 6N → GD': 1}"
2,31,50,1,00 → 00,0.02,1.0,{'00 → 00': 50}
2,32,50,13,0V → U1 → S3 → O7 → GF → 0V,0.26,0.14,"{'0V → U1 → S3 → O7 → GF → 0V': 7, '6P → ID → 4R → M9 → CJ → 6P': 6, 'O7 → GF → 0V → U1 → S3 → O7': 5, 'AL → AL': 5, 'S3 → O7 → GF → 0V → U1 → S3': 5, 'KB → 8N → EH → 2T → Q5 → KB': 4, '2T → Q5 → KB → 8N → EH → 2T': 4, '8N → EH → 2T → Q5 → KB → 8N': 3, '4R → M9 → CJ → 6P → ID → 4R': 3, 'CJ → 6P → ID → 4R → M9 → CJ': 3, 'GF → 0V → U1 → S3 → O7 → GF': 2, 'EH → 2T → Q5 → KB → 8N → EH': 2, 'M9 → CJ → 6P → ID → 4R → M9': 1}"
2,33,50,9,1V → T3 → P7 → HF → 1V,0.18,0.2,"{'1V → T3 → P7 → HF → 1V': 10, '5R → LB → 9N → DJ → 5R': 9, 'P7 → HF → 1V → T3 → P7': 8, 'HF → 1V → T3 → P7 → HF': 6, 'LB → 9N → DJ → 5R → LB': 6, 'DJ → 5R → LB → 9N → DJ': 4, '9N → DJ → 5R → LB → 9N': 3, 'T3 → P7 → HF → 1V → T3': 2, '00 → 00': 2}"
