n_digits,base,samples,unique_attractors,most_common_attractor,attractor_uniqueness_ratio,attractor_distribution,dominant_attractor_frequency,has_single_attractor,is_trivial
2,28,100,13,K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7,0.13,"{'K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7': 12, 'GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB': 12, '2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P': 12, '6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L': 10, '0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R': 10, '4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N': 9, '8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J': 8, 'O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3': 6, 'AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH': 6, 'CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF': 4, 'I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9': 4, 'ED → 0R → Q1 → O3 → K7 → CF → 2P → M5 → GB → 4N → I9 → 8J → AH → 6L → ED': 4, 'M5 → GB → 4N → I9 → 8J → AH → 6L → ED → 0R → Q1 → O3 → K7 → CF → 2P → M5': 3}",0.12,False,False
2,29,100,8,1R → P3 → L7 → DF → 1R,0.08,"{'1R → P3 → L7 → DF → 1R': 21, 'L7 → DF → 1R → P3 → L7': 19, 'HB → 5N → HB': 14, '5N → HB → 5N': 13, 'DF → 1R → P3 → L7 → DF': 11, '9J → 9J': 10, 'P3 → L7 → DF → 1R → P3': 9, '00 → 00': 3}",0.21,False,False
2,30,100,14,AJ → 8L → CH → 4P → K9 → AJ,0.14,"{'AJ → 8L → CH → 4P → K9 → AJ': 15, 'EF → 0T → S1 → Q3 → M7 → EF': 10, 'GD → 2R → O5 → IB → 6N → GD': 9, '6N → GD → 2R → O5 → IB → 6N': 8, 'M7 → EF → 0T → S1 → Q3 → M7': 8, '8L → CH → 4P → K9 → AJ → 8L': 8, 'IB → 6N → GD → 2R → O5 → IB': 7, '0T → S1 → Q3 → M7 → EF → 0T': 7, '2R → O5 → IB → 6N → GD → 2R': 7, 'CH → 4P → K9 → AJ → 8L → CH': 6, 'Q3 → M7 → EF → 0T → S1 → Q3': 6, 'K9 → AJ → 8L → CH → 4P → K9': 5, 'O5 → IB → 6N → GD → 2R → O5': 2, '4P → K9 → AJ → 8L → CH → 4P': 2}",0.15,False,False
3,2,100,1,011 → 011,0.01,{'011 → 011': 100},1.0,True,False
3,3,100,2,121 → 022 → 121,0.02,"{'121 → 022 → 121': 51, '022 → 121 → 022': 49}",0.51,False,False
3,4,100,1,132 → 132,0.01,{'132 → 132': 100},1.0,True,False
3,5,100,2,242 → 143 → 242,0.02,"{'242 → 143 → 242': 71, '143 → 242 → 143': 29}",0.71,False,False
3,6,100,1,253 → 253,0.01,{'253 → 253': 100},1.0,True,False
3,7,100,2,363 → 264 → 363,0.02,"{'363 → 264 → 363': 74, '264 → 363 → 264': 26}",0.74,False,False
3,8,100,1,374 → 374,0.01,{'374 → 374': 100},1.0,True,False
3,9,100,2,484 → 385 → 484,0.02,"{'484 → 385 → 484': 82, '385 → 484 → 385': 18}",0.82,False,False
3,10,100,1,495 → 495,0.01,{'495 → 495': 100},1.0,True,False
3,11,100,2,5A5 → 4A6 → 5A5,0.02,"{'5A5 → 4A6 → 5A5': 88, '4A6 → 5A5 → 4A6': 12}",0.88,False,False
3,12,100,1,5B6 → 5B6,0.01,{'5B6 → 5B6': 100},1.0,True,False
3,13,100,2,6C6 → 5C7 → 6C6,0.02,"{'6C6 → 5C7 → 6C6': 92, '5C7 → 6C6 → 5C7': 8}",0.92,False,False
3,14,100,1,6D7 → 6D7,0.01,{'6D7 → 6D7': 100},1.0,True,False
3,15,100,2,7E7 → 6E8 → 7E7,0.02,"{'7E7 → 6E8 → 7E7': 88, '6E8 → 7E7 → 6E8': 12}",0.88,False,False
3,16,100,1,7F8 → 7F8,0.01,{'7F8 → 7F8': 100},1.0,True,False
3,17,100,2,8G8 → 7G9 → 8G8,0.02,"{'8G8 → 7G9 → 8G8': 87, '7G9 → 8G8 → 7G9': 13}",0.87,False,False
3,18,100,1,8H9 → 8H9,0.01,{'8H9 → 8H9': 100},1.0,True,False
3,19,100,2,9I9 → 8IA → 9I9,0.02,"{'9I9 → 8IA → 9I9': 93, '8IA → 9I9 → 8IA': 7}",0.93,False,False
3,20,100,1,9JA → 9JA,0.01,{'9JA → 9JA': 100},1.0,True,False
3,21,100,2,AKA → 9KB → AKA,0.02,"{'AKA → 9KB → AKA': 93, '9KB → AKA → 9KB': 7}",0.93,False,False
3,22,100,1,ALB → ALB,0.01,{'ALB → ALB': 100},1.0,True,False
3,23,100,2,BMB → AMC → BMB,0.02,"{'BMB → AMC → BMB': 95, 'AMC → BMB → AMC': 5}",0.95,False,False
3,24,100,1,BNC → BNC,0.01,{'BNC → BNC': 100},1.0,True,False
3,25,100,2,COC → BOD → COC,0.02,"{'COC → BOD → COC': 96, 'BOD → COC → BOD': 4}",0.96,False,False
3,26,100,1,CPD → CPD,0.01,{'CPD → CPD': 100},1.0,True,False
3,27,100,2,DQD → CQE → DQD,0.02,"{'DQD → CQE → DQD': 95, 'CQE → DQD → CQE': 5}",0.95,False,False
3,28,100,1,DRE → DRE,0.01,{'DRE → DRE': 100},1.0,True,False
3,29,100,2,ESE → DSF → ESE,0.02,"{'ESE → DSF → ESE': 94, 'DSF → ESE → DSF': 6}",0.94,False,False
3,30,100,1,ETF → ETF,0.01,{'ETF → ETF': 100},1.0,True,False
4,2,100,2,0111 → 0111,0.02,"{'0111 → 0111': 61, '1001 → 1001': 39}",0.61,False,False
4,3,100,2,1221 → 1012 → 1221,0.02,"{'1221 → 1012 → 1221': 74, '1012 → 1221 → 1012': 26}",0.74,False,False
4,4,100,3,2022 → 1332 → 2022,0.03,"{'2022 → 1332 → 2022': 40, '3021 → 3021': 33, '1332 → 2022 → 1332': 27}",0.4,False,False
4,5,100,1,3032 → 3032,0.01,{'3032 → 3032': 100},1.0,True,False
4,6,100,6,4042 → 4132 → 3043 → 3552 → 3133 → 1554 → 4042,0.06,"{'4042 → 4132 → 3043 → 3552 → 3133 → 1554 → 4042': 24, '3552 → 3133 → 1554 → 4042 → 4132 → 3043 → 3552': 19, '4132 → 3043 → 3552 → 3133 → 1554 → 4042 → 4132': 18, '3133 → 1554 → 4042 → 4132 → 3043 → 3552 → 3133': 14, '3043 → 3552 → 3133 → 1554 → 4042 → 4132 → 3043': 13, '1554 → 4042 → 4132 → 3043 → 3552 → 3133 → 1554': 12}",0.24,False,False
4,7,100,3,5052 → 5232 → 3054 → 5052,0.03,"{'5052 → 5232 → 3054 → 5052': 45, '3054 → 5052 → 5232 → 3054': 43, '5232 → 3054 → 5052 → 5232': 12}",0.45,False,False
4,8,100,8,3774 → 4244 → 1776 → 6062 → 6332 → 3774,0.08,"{'3774 → 4244 → 1776 → 6062 → 6332 → 3774': 40, '6152 → 5243 → 3065 → 6152': 21, '3065 → 6152 → 5243 → 3065': 10, '1776 → 6062 → 6332 → 3774 → 4244 → 1776': 10, '6062 → 6332 → 3774 → 4244 → 1776 → 6062': 6, '4244 → 1776 → 6062 → 6332 → 3774 → 4244': 5, '6332 → 3774 → 4244 → 1776 → 6062 → 6332': 5, '5243 → 3065 → 6152 → 5243': 3}",0.4,False,False
4,9,100,6,5254 → 3076 → 7252 → 5254,0.06,"{'5254 → 3076 → 7252 → 5254': 24, '7072 → 7432 → 5074 → 7072': 22, '5074 → 7072 → 7432 → 5074': 21, '7252 → 5254 → 3076 → 7252': 17, '3076 → 7252 → 5254 → 3076': 10, '7432 → 5074 → 7072 → 7432': 6}",0.24,False,False
4,10,100,1,6174 → 6174,0.01,{'6174 → 6174': 100},1.0,True,False
4,11,100,10,3098 → 9452 → 7094 → 9272 → 7454 → 3098,0.1,"{'3098 → 9452 → 7094 → 9272 → 7454 → 3098': 23, '9092 → 9632 → 7274 → 5276 → 5096 → 9092': 20, '5096 → 9092 → 9632 → 7274 → 5276 → 5096': 14, '7274 → 5276 → 5096 → 9092 → 9632 → 7274': 10, '7454 → 3098 → 9452 → 7094 → 9272 → 7454': 10, '7094 → 9272 → 7454 → 3098 → 9452 → 7094': 7, '9272 → 7454 → 3098 → 9452 → 7094 → 9272': 6, '5276 → 5096 → 9092 → 9632 → 7274 → 5276': 5, '9632 → 7274 → 5276 → 5096 → 9092 → 9632': 3, '9452 → 7094 → 9272 → 7454 → 3098 → 9452': 2}",0.23,False,False
4,12,100,9,8374 → 5287 → 6196 → 7BB4 → 7375 → 4198 → 8374,0.09,"{'8374 → 5287 → 6196 → 7BB4 → 7375 → 4198 → 8374': 31, '6196 → 7BB4 → 7375 → 4198 → 8374 → 5287 → 6196': 20, '7BB4 → 7375 → 4198 → 8374 → 5287 → 6196 → 7BB4': 16, '3BB8 → 8284 → 6376 → 3BB8': 13, '8284 → 6376 → 3BB8 → 8284': 6, '4198 → 8374 → 5287 → 6196 → 7BB4 → 7375 → 4198': 5, '7375 → 4198 → 8374 → 5287 → 6196 → 7BB4 → 7375': 4, '6376 → 3BB8 → 8284 → 6376': 3, '5287 → 6196 → 7BB4 → 7375 → 4198 → 8374 → 5287': 2}",0.31,False,False
4,13,100,14,B0B2 → B832 → 9474 → 5298 → 7296 → 70B6 → B0B2,0.14,"{'B0B2 → B832 → 9474 → 5298 → 7296 → 70B6 → B0B2': 13, '9294 → 7476 → 30BA → B652 → 90B4 → B472 → 9294': 12, '90B4 → B472 → 9294 → 7476 → 30BA → B652 → 90B4': 11, '7296 → 70B6 → B0B2 → B832 → 9474 → 5298 → 7296': 9, '70B6 → B0B2 → B832 → 9474 → 5298 → 7296 → 70B6': 8, '50B8 → B292 → 9654 → 50B8': 8, 'B472 → 9294 → 7476 → 30BA → B652 → 90B4 → B472': 7, '9654 → 50B8 → B292 → 9654': 6, '30BA → B652 → 90B4 → B472 → 9294 → 7476 → 30BA': 6, 'B652 → 90B4 → B472 → 9294 → 7476 → 30BA → B652': 5, '7476 → 30BA → B652 → 90B4 → B472 → 9294 → 7476': 5, 'B292 → 9654 → 50B8 → B292': 4, '9474 → 5298 → 7296 → 70B6 → B0B2 → B832 → 9474': 4, '5298 → 7296 → 70B6 → B0B2 → B832 → 9474 → 5298': 2}",0.13,False,False
4,14,100,3,A574 → 61B8 → A1B4 → A574,0.03,"{'A574 → 61B8 → A1B4 → A574': 38, 'A1B4 → A574 → 61B8 → A1B4': 34, '61B8 → A1B4 → A574 → 61B8': 28}",0.38,False,False
4,15,100,20,B674 → 70D8 → D0D2 → DA32 → B674,0.2,"{'B674 → 70D8 → D0D2 → DA32 → B674': 10, '9496 → 52BA → 9496': 8, 'B494 → 7498 → 50DA → D492 → B494': 8, '50DA → D492 → B494 → 7498 → 50DA': 8, '90D6 → D2B2 → B854 → 72B8 → 90D6': 7, '72B8 → 90D6 → D2B2 → B854 → 72B8': 7, 'B2B4 → 9676 → 30DC → D852 → B2B4': 6, 'D0D2 → DA32 → B674 → 70D8 → D0D2': 6, '70D8 → D0D2 → DA32 → B674 → 70D8': 6, '7498 → 50DA → D492 → B494 → 7498': 5, 'D2B2 → B854 → 72B8 → 90D6 → D2B2': 5, 'B0D4 → D672 → B0D4': 5, 'D852 → B2B4 → 9676 → 30DC → D852': 4, '92B6 → 92B6': 3, 'D492 → B494 → 7498 → 50DA → D492': 3, 'B854 → 72B8 → 90D6 → D2B2 → B854': 2, '52BA → 9496 → 52BA': 2, '30DC → D852 → B2B4 → 9676 → 30DC': 2, 'D672 → B0D4 → D672': 2, '9676 → 30DC → D852 → B2B4 → 9676': 1}",0.1,False,False
4,16,100,13,7FF8 → 8688 → 1FFE → E0E2 → EB32 → C774 → 7FF8,0.13,"{'7FF8 → 8688 → 1FFE → E0E2 → EB32 → C774 → 7FF8': 27, 'C3B4 → 9687 → 30ED → E952 → C3B4': 15, 'C774 → 7FF8 → 8688 → 1FFE → E0E2 → EB32 → C774': 14, '3FFC → C2C4 → A776 → 3FFC': 14, 'A596 → 52CB → A596': 10, 'E952 → C3B4 → 9687 → 30ED → E952': 5, '8688 → 1FFE → E0E2 → EB32 → C774 → 7FF8 → 8688': 3, 'A776 → 3FFC → C2C4 → A776': 3, 'C2C4 → A776 → 3FFC → C2C4': 2, '52CB → A596 → 52CB': 2, 'E0E2 → EB32 → C774 → 7FF8 → 8688 → 1FFE → E0E2': 2, '9687 → 30ED → E952 → C3B4 → 9687': 2, 'EB32 → C774 → 7FF8 → 8688 → 1FFE → E0E2 → EB32': 1}",0.27,False,False
4,17,100,26,B2D6 → B4B6 → 74BA → 72DA → B2D6,0.26,"{'B2D6 → B4B6 → 74BA → 72DA → B2D6': 12, 'D4B4 → 9698 → 30FE → FA52 → D4B4': 9, 'D2D4 → B876 → 50FC → F692 → D2D4': 9, '9698 → 30FE → FA52 → D4B4 → 9698': 9, 'F0F2 → FC32 → D874 → 90F8 → F0F2': 6, '50FC → F692 → D2D4 → B876 → 50FC': 5, '30FE → FA52 → D4B4 → 9698 → 30FE': 4, 'F692 → D2D4 → B876 → 50FC → F692': 4, 'D694 → 92D8 → B0F6 → F4B2 → D694': 4, 'DA54 → 94B8 → 70FA → F2D2 → DA54': 4, 'B4B6 → 74BA → 72DA → B2D6 → B4B6': 4, 'F872 → D0F4 → F872': 3, 'B0F6 → F4B2 → D694 → 92D8 → B0F6': 3, '90F8 → F0F2 → FC32 → D874 → 90F8': 2, 'F4B2 → D694 → 92D8 → B0F6 → F4B2': 2, 'B696 → 52DC → B696': 2, 'FC32 → D874 → 90F8 → F0F2 → FC32': 2, 'B876 → 50FC → F692 → D2D4 → B876': 2, 'F2D2 → DA54 → 94B8 → 70FA → F2D2': 2, 'D874 → 90F8 → F0F2 → FC32 → D874': 2, '94B8 → 70FA → F2D2 → DA54 → 94B8': 2, '72DA → B2D6 → B4B6 → 74BA → 72DA': 2, 'D0F4 → F872 → D0F4': 2, '92D8 → B0F6 → F4B2 → D694 → 92D8': 2, '70FA → F2D2 → DA54 → 94B8 → 70FA': 1, '52DC → B696 → 52DC': 1}",0.12,False,False
4,18,100,6,61FC → E5B4 → A5B8 → 61FC,0.06,"{'61FC → E5B4 → A5B8 → 61FC': 23, 'A5B8 → 61FC → E5B4 → A5B8': 20, 'E974 → A1F8 → E1F4 → E974': 16, 'A1F8 → E1F4 → E974 → A1F8': 15, 'E5B4 → A5B8 → 61FC → E5B4': 14, 'E1F4 → E974 → A1F8 → E1F4': 12}",0.23,False,False
